Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
"A Hayfield, Malahide",http://onlinecollection.nationalgallery.ie/objects/2943/a-hayfield-malahide?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=613,N/A,Oil on board,34 x 50 cm,NGI.1501,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
"A Fishing Boat below a Cliff, ?Etretat",http://onlinecollection.nationalgallery.ie/objects/2944/a-fishing-boat-below-a-cliff-etretat?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=614,N/A,Oil on canvas,42 x 63 cm,NGI.1502,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Cows Resting under Trees,http://onlinecollection.nationalgallery.ie/objects/2945/cows-resting-under-trees?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=615,N/A,Oil on canvas,46 x 35 cm,NGI.1503,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
A Landscape with Trees and a Hill,http://onlinecollection.nationalgallery.ie/objects/2946/a-landscape-with-trees-and-a-hill?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=616,N/A,Oil on canvas,44 x 63 cm,NGI.1504,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
An Italian Village Scene,http://onlinecollection.nationalgallery.ie/objects/2947/an-italian-village-scene?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=617,N/A,Oil on canvas,42 x 64 cm,NGI.1505,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Strand with a Horse and Cart,http://onlinecollection.nationalgallery.ie/objects/2948/strand-with-a-horse-and-cart?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=618,N/A,Oil on board,42 x 63 cm,NGI.1506,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Pastures by the Sea,http://onlinecollection.nationalgallery.ie/objects/2949/pastures-by-the-sea?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=619,N/A,Oil on board,37 x 52 cm,NGI.1507,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
"Mediterranean Coast, Mending Nets",http://onlinecollection.nationalgallery.ie/objects/2950/mediterranean-coast-mending-nets?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=620,N/A,Oil on canvas,36 x 72 cm,NGI.1508,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Seashore with Fishing Boats,http://onlinecollection.nationalgallery.ie/objects/2951/seashore-with-fishing-boats?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=621,N/A,Oil on board,32 x 44 cm,NGI.1509,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Portrait of a Child with a Dog,http://onlinecollection.nationalgallery.ie/objects/2952/portrait-of-a-child-with-a-dog?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=622,1640s,Oil on panel,61 x 52.5 cm,NGI.151,"Purchased, 1889"
Row of Trees near the Shore,http://onlinecollection.nationalgallery.ie/objects/2953/row-of-trees-near-the-shore?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=623,N/A,Oil on board,32 x 44 cm,NGI.1510,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Path near Trees,http://onlinecollection.nationalgallery.ie/objects/2954/path-near-trees?ctx=dcf85124-8ea7-4126-8525-8819cc4d41de&idx=624,N/A,Oil on board,32 x 44 cm,NGI.1511,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
