Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
The Massacre of the Innocents,http://onlinecollection.nationalgallery.ie/objects/313/the-massacre-of-the-innocents?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=97,1720s,Oil on canvas,131 x 180 cm,NGI.1020,"Purchased, 1940"
The Return from the Palio,http://onlinecollection.nationalgallery.ie/objects/324/the-return-from-the-palio?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=98,N/A,Oil on canvas,132 x 103 cm,NGI.1021,"Purchased, 1940"
"The Crucifixion, Noli Me Tangere",http://onlinecollection.nationalgallery.ie/objects/335/the-crucifixion-noli-me-tangere?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=99,1330s,Tempera and gold leaf on wood panel,25 x 15 cm,NGI.1022,"Purchased, 1940"
"Portrait of George W. Russell (AE) (1867-1935), Poet, Artist and Economist",http://onlinecollection.nationalgallery.ie/objects/356/portrait-of-george-w-russell-ae-18671935-poet-artist?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=100,N/A,Oil on canvas,68 x 51 cm,NGI.1024,"Presented, the Artist, 1940"
Portrait of a Man and his Daughter,http://onlinecollection.nationalgallery.ie/objects/367/portrait-of-a-man-and-his-daughter?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=101,1721,Oil on canvas,91.2 x 82.4 cm,NGI.1025,"Purchased, 1940"
Christ in Distress,http://onlinecollection.nationalgallery.ie/objects/378/christ-in-distress?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=102,17th century,Oil on panel,34 x 24 cm,NGI.1026,"Bequeathed, Miss K. Ffrench, 1939"
Portrait of a Gentleman in Armour,http://onlinecollection.nationalgallery.ie/objects/389/portrait-of-a-gentleman-in-armour?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=103,17th century,Oil laid on panel,56 x 45 cm,NGI.1027,"Bequeathed, Miss K. Ffrench, 1939"
Portrait of San Luigi Gonzaga,http://onlinecollection.nationalgallery.ie/objects/400/portrait-of-san-luigi-gonzaga?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=104,N/A,Oil on panel,76 x 23 cm,NGI.1028,"Bequeathed, Miss K. Ffrench, 1939"
Portrait of a Man in Black,http://onlinecollection.nationalgallery.ie/objects/411/portrait-of-a-man-in-black?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=105,N/A,Oil on canvas,101 x 82 cm,NGI.1029,"Bequeathed, Miss K. Ffrench, 1939"
"Set of 3 panels: The Pietà, Saint Apollonia and Saint Peter",http://onlinecollection.nationalgallery.ie/objects/422/set-of-3-panels-the-pieta-saint-apollonia-and-saint-peter?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=106,?1560s,Oil on panel,21 x 47 cm18 x 18 cm,NGI.103,"Purchased, 1864"
Portrait of Charles Von Horseback,http://onlinecollection.nationalgallery.ie/objects/423/portrait-of-charles-von-horseback?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=107,N/A,Oil on canvas,77 x 71 cm,NGI.1030,"Bequeathed, Miss K. Ffrench, 1939"
Portrait of an Elderly Man,http://onlinecollection.nationalgallery.ie/objects/433/portrait-of-an-elderly-man?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=108,1620s,Oil on canvas,85 x 68 cm,NGI.1031,"Milltown Gift, 1902"
A Landscape,http://onlinecollection.nationalgallery.ie/objects/444/a-landscape?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=109,N/A,Oil on canvas,80 x 97 cm,NGI.1032,"Milltown Gift, 1902"
Village Merrymaking,http://onlinecollection.nationalgallery.ie/objects/455/village-merrymaking?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=110,17th century,Oil on canvas,85 x 110 cm,NGI.1033,"Milltown Gift, 1902"
La Belle Gabrielle,http://onlinecollection.nationalgallery.ie/objects/476/la-belle-gabrielle?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=111,N/A,Oil on canvas,65 x 55 cm,NGI.1035,"Milltown Gift, 1902"
"Portrait of Edward Nugent Leeson, 6th Earl of Milltown (1835-1890)",http://onlinecollection.nationalgallery.ie/objects/487/portrait-of-edward-nugent-leeson-6th-earl-of-milltown-1835?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=112,1875,Oil on canvas,240 x 148 cm,NGI.1036,"Milltown Gift, 1902"
Venus of Urbino,http://onlinecollection.nationalgallery.ie/objects/498/venus-of-urbino?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=113,N/A,Oil on canvas,121 x 173 cm,NGI.1037,"Milltown Gift, 1902"
A Seascape,http://onlinecollection.nationalgallery.ie/objects/509/a-seascape?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=114,c.1700,Oil on canvas,72 x 95 cm,NGI.1038,"Milltown Gift, 1902"
A Seascape,http://onlinecollection.nationalgallery.ie/objects/520/a-seascape?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=115,c.1700,Oil on canvas,81 x 99 cm,NGI.1039,"Milltown Gift, 1902"
"Set of 4 panels: Saint Francis, Saint Lawrence, Saint Jerome, Saint Benedict",http://onlinecollection.nationalgallery.ie/objects/531/set-of-4-panels-saint-francis-saint-lawrence-saint-jerome?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=116,?1560s,Oil on panel,18 x 18 cm,NGI.104,"Purchased, 1865"
Mystic Marriage of Saint Catherine,http://onlinecollection.nationalgallery.ie/objects/532/mystic-marriage-of-saint-catherine?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=117,N/A,Oil on canvas,65 x 50 cm,NGI.1040,"Milltown Gift, 1902"
The Head of Saint Peter,http://onlinecollection.nationalgallery.ie/objects/543/the-head-of-saint-peter?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=118,N/A,Oil on canvas,48 x 48 cm,NGI.1041,"Milltown Gift, 1902"
"The Virgin and Child with Saints John the Baptist, Geminian, Peter Matyr and George",http://onlinecollection.nationalgallery.ie/objects/554/the-virgin-and-child-with-saints-john-the-baptist-geminian?ctx=6b0298ad-63e9-4c70-a254-62ea9e70f094&idx=119,17th century,Oil on canvas,231 x 175 cm,NGI.1042,"Milltown Gift, 1902"
The Grand Canal with the Church of the Carità towards the Harbour of Saint Mark's,http://onlinecollection.nationalgallery.ie/objects/565/the-grand-canal-with-the-church-of-the-carita-towards-the-ha?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=120,c.1750,Oil on canvas,59 x 96 cm,NGI.1043,"Milltown Gift, 1902"
"Portrait of Elizabeth, Countess of Harrington (née Grear), Wife of the 5th Earl",http://onlinecollection.nationalgallery.ie/objects/576/portrait-of-elizabeth-countess-of-harrington-nee-grear-w?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=121,1830s,Oil on canvas,92 x 72 cm,NGI.1044,"Milltown Gift, 1902"
The Death of Regulus,http://onlinecollection.nationalgallery.ie/objects/587/the-death-of-regulus?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=122,N/A,Oil on canvas,150 x 220 cm,NGI.1045,"Milltown Gift, 1902"
Jupiter and Ganymede,http://onlinecollection.nationalgallery.ie/objects/598/jupiter-and-ganymede?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=123,1660-1669,Oil on canvas,119.5 x 113.8 cm,NGI.1046,"Presented, Pierce Higgins, 1940"
Portrait of a Man Aged 40,http://onlinecollection.nationalgallery.ie/objects/608/portrait-of-a-man-aged-40?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=124,1651,Oil on wood panel,73.8 x 59 cm,NGI.1047,"Purchased, 1940"
Portrait of a Lady Aged 55,http://onlinecollection.nationalgallery.ie/objects/619/portrait-of-a-lady-aged-55?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=125,1651,Oil on panel,74 x 59 cm,NGI.1048,"Purchased, 1940"
"Triptych with the Virgin of the Seven Sorrows (centre), Nativity (left) and Resurrection (right)",http://onlinecollection.nationalgallery.ie/objects/629/triptych-with-the-virgin-of-the-seven-sorrows-centre-nati?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=126,c.1525-1550,Oil on oak panels,N/A,NGI.1049,"Purchased, 1940 (Lane Fund)"
Portrait of a Gentleman and his two Children,http://onlinecollection.nationalgallery.ie/objects/640/portrait-of-a-gentleman-and-his-two-children?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=127,c.1572-1575,Oil on canvas,125.3 x 98 cm,NGI.105,"Purchased, 1866"
Morning in a City,http://onlinecollection.nationalgallery.ie/objects/641/morning-in-a-city?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=128,c.1937,Oil on canvas,61 x 91 cm,NGI.1050,"Presented, Trustees of the Haverty Bequest, 1941"
"Portrait of James Joyce (1882-1941), Author",http://onlinecollection.nationalgallery.ie/objects/652/portrait-of-james-joyce-18821941-author?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=129,1934,Oil on canvas,82 x 65 cm,NGI.1051,"Purchased, 1941"
"Apple Gathering, Quimperlé",http://onlinecollection.nationalgallery.ie/objects/663/apple-gathering-quimperle?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=130,1883,Oil on canvas,58 x 46 cm,NGI.1052,"Bequeathed, 1940"
A Boy Blowing Bubbles,http://onlinecollection.nationalgallery.ie/objects/673/a-boy-blowing-bubbles?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=131,N/A,Oil on canvas,31 x 23 cm,NGI.1053,"Bequeathed, Patrick Sherlock, 1940"
A View of Dublin Bay,http://onlinecollection.nationalgallery.ie/objects/683/a-view-of-dublin-bay?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=132,N/A,Oil on board,21 x 31 cm,NGI.1054,"Bequeathed, 1940"
Trawlers Leaving Port,http://onlinecollection.nationalgallery.ie/objects/694/trawlers-leaving-port?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=133,N/A,Oil on canvas,37 x 55 cm,NGI.1055,"Bequeathed, 1940"
The River Bank,http://onlinecollection.nationalgallery.ie/objects/705/the-river-bank?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=134,1884,Oil on canvas,24 x 34 cm,NGI.1056,"Bequeathed, 1940"
"Castle on a River, Sunset",http://onlinecollection.nationalgallery.ie/objects/716/castle-on-a-river-sunset?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=135,N/A,Oil on canvas,36 x 53 cm,NGI.1057,"Bequeathed, 1940"
"Portrait of Nathaniel Kane, Lord Mayor of Dublin",http://onlinecollection.nationalgallery.ie/objects/727/portrait-of-nathaniel-kane-lord-mayor-of-dublin?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=136,1734,Oil on canvas,91 x 71 cm,NGI.1058,"Purchased, 1940"
A Mountain Landscape,http://onlinecollection.nationalgallery.ie/objects/738/a-mountain-landscape?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=137,1889,Oil on canvas,25 x 36 cm,NGI.1059,"Bequeathed, 1940"
Virgin and Saints Adoring the Christ Child,http://onlinecollection.nationalgallery.ie/objects/749/virgin-and-saints-adoring-the-christ-child?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=138,1509,Oil on canvas,183 x 152 cm,NGI.106,"Purchased, 1864"
Portrait of a Lady,http://onlinecollection.nationalgallery.ie/objects/750/portrait-of-a-lady?ctx=60b86186-3263-4bb2-8633-17c235e9daf5&idx=139,N/A,Oil on canvas,179 x 125 cm,NGI.1060,"Presented, Mr D. O'Brien, 1941"
Mrs George Rochfort,http://onlinecollection.nationalgallery.ie/objects/760/mrs-george-rochfort?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=140,1746,Oil on canvas,131 x 109 cm,NGI.1061,"Presented, Executors of the late Mr W. Rochford, 1941"
Portrait of a Lady,http://onlinecollection.nationalgallery.ie/objects/771/portrait-of-a-lady?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=141,early 1660s,Oil on canvas,87.2 x 71.7 cm,NGI.1062,"Bequeathed, 1940"
Boy with Dogs,http://onlinecollection.nationalgallery.ie/objects/782/boy-with-dogs?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=142,17th century,Oil on canvas,102 x 100 cm,NGI.1063,"Bequeathed, 1940"
Bacchanal,http://onlinecollection.nationalgallery.ie/objects/793/bacchanal?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=143,1628/1640,Oil on canvas,121.8 x 167.4 cm,NGI.1064,"Milltown Gift, 1902"
The Virgin Sewing or the Virgin of the Annunciation,http://onlinecollection.nationalgallery.ie/objects/804/the-virgin-sewing-or-the-virgin-of-the-annunciation?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=144,17th century,Oil on canvas,142 x 111 cm,NGI.1065,"Milltown Gift, 1902"
The Finding of the Money in Benjamin's Sack,http://onlinecollection.nationalgallery.ie/objects/816/the-finding-of-the-money-in-benjamins-sack?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=145,N/A,Oil on canvas,94 x 128 cm,NGI.1066,"Milltown Gift, 1902"
The Adoration of the Magi,http://onlinecollection.nationalgallery.ie/objects/827/the-adoration-of-the-magi?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=146,16th century,Oil on copper,55 x 44 cm,NGI.1067,"Milltown Gift, 1902"
The Adoration of the Shepherds,http://onlinecollection.nationalgallery.ie/objects/837/the-adoration-of-the-shepherds?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=147,N/A,Oil on canvas,112 x 98 cm,NGI.1068,"Milltown Gift, 1902"
Saint John Preaching in the Wilderness,http://onlinecollection.nationalgallery.ie/objects/847/saint-john-preaching-in-the-wilderness?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=148,late 1680s,Oil on canvas,184 x 128.5 cm,NGI.1069,"Milltown Gift, 1902"
Bust of a Man Wearing a large-brimmed Hat,http://onlinecollection.nationalgallery.ie/objects/858/bust-of-a-man-wearing-a-largebrimmed-hat?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=149,c.1654,Oil on canvas,73.1 x 62 cm,NGI.107,"Purchased, 1889"
The Sacrifice of Isaac,http://onlinecollection.nationalgallery.ie/objects/859/the-sacrifice-of-isaac?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=150,c.1640,Oil on canvas,69 x 99 x 2.5 cm,NGI.1070,"Milltown Gift, 1902"
"The Virgin and Child with Saints Jerome, Mary Magdalen and Angels",http://onlinecollection.nationalgallery.ie/objects/869/the-virgin-and-child-with-saints-jerome-mary-magdalen-and-a?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=151,N/A,Oil on canvas,201 x 143 cm,NGI.1071,"Milltown Gift, 1902"
The Adoration of the Magi,http://onlinecollection.nationalgallery.ie/objects/880/the-adoration-of-the-magi?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=152,N/A,Oil on canvas,173 x 103 cm,NGI.1072,"Milltown Gift, 1902"
Bacchanalian Boys and Satyrs,http://onlinecollection.nationalgallery.ie/objects/901/bacchanalian-boys-and-satyrs?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=153,17th century,Oil on canvas,38 x 99 cm,NGI.1074,"Milltown Gift, 1902"
Young Satyrs and Boys at Play,http://onlinecollection.nationalgallery.ie/objects/913/young-satyrs-and-boys-at-play?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=154,17th century,Oil on canvas,38 x 99 cm,NGI.1075,"Milltown Gift, 1902"
Omnia Vincit Amor,http://onlinecollection.nationalgallery.ie/objects/944/omnia-vincit-amor?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=155,N/A,Oil on canvas,63 x 82 cm,NGI.1078,"Milltown Gift, 1902"
Still Life with Fruit and Flowers on an Urn,http://onlinecollection.nationalgallery.ie/objects/954/still-life-with-fruit-and-flowers-on-an-urn?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=156,N/A,Oil on canvas,115 x 75.3 cm,NGI.1079,"Milltown Gift, 1902"
Virgin and Child Enthroned with Saints,http://onlinecollection.nationalgallery.ie/objects/965/virgin-and-child-enthroned-with-saints?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=157,c.1470,Tempera on wood panel,132.5 x 148.7 cm,NGI.108,"Purchased, 1861"
The Virgin and Child with Saint John the Baptist,http://onlinecollection.nationalgallery.ie/objects/966/the-virgin-and-child-with-saint-john-the-baptist?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=158,16th century,Oil on canvas,73 x 58 cm,NGI.1080,"Milltown Gift, 1902"
Feast of Herod,http://onlinecollection.nationalgallery.ie/objects/987/feast-of-herod?ctx=47e1fb54-6bf7-4ef4-b9f5-f101a5540037&idx=159,c.1650-1670,Oil on canvas,59.8 x 83.6 cm,NGI.1082,"Milltown Gift, 1902"
The Expulsion of Adam and Eve,http://onlinecollection.nationalgallery.ie/objects/999/the-expulsion-of-adam-and-eve?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=160,18th Century,Oil on canvas,123 x 175 cm,NGI.1083,"Milltown Gift, 1902"
"Portrait of Pope Benedict XIII, Pietro Francesco Orsini (1649-1730)",http://onlinecollection.nationalgallery.ie/objects/1010/portrait-of-pope-benedict-xiii-pietro-francesco-orsini-164?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=161,N/A,Oil on canvas,57 x 50 cm,NGI.1084,"Milltown Gift, 1902"
The Daughter of the Doge Mocenigo,http://onlinecollection.nationalgallery.ie/objects/1020/the-daughter-of-the-doge-mocenigo?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=162,N/A,Oil on canvas,126.5 x 105 cm,NGI.1085,"Presented, Mr E. Duckett, 1868"
Death of Lucretia,http://onlinecollection.nationalgallery.ie/objects/1031/death-of-lucretia?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=163,c.1750,Oil on canvas,97 x 135 cm,NGI.1086,"Milltown Gift, 1902"
Interior with a Lady Washing her Hands,http://onlinecollection.nationalgallery.ie/objects/1042/interior-with-a-lady-washing-her-hands?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=164,17th century,Oil on oak panel,49 x 37 cm,NGI.1087,"Bequeathed, 1940"
Saint John the Baptist in the Wilderness,http://onlinecollection.nationalgallery.ie/objects/1053/saint-john-the-baptist-in-the-wilderness?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=165,late 1580s,Oil on wood panel,72 x 59 cm,NGI.1088,"Purchased, 1942"
Saint Galgano Inviting the People to Adore the Cross,http://onlinecollection.nationalgallery.ie/objects/1064/saint-galgano-inviting-the-people-to-adore-the-cross?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=166,c.1415,Tempera and gold leaf on wood panel,40.5 x 38 cm,NGI.1089,"Purchased, 1942"
"Portrait of Pope Pius VI, Giovanni Angelo Braschi (1717-1799)",http://onlinecollection.nationalgallery.ie/objects/1074/portrait-of-pope-pius-vi-giovanni-angelo-braschi-17171799?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=167,N/A,Oil on canvas,137 x 98 cm,NGI.109,"Presented, 1875"
The Holy Family with Saint John the Baptist,http://onlinecollection.nationalgallery.ie/objects/1075/the-holy-family-with-saint-john-the-baptist?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=168,16th century,Oil on panel,89 cm,NGI.1090,"Purchased, 1942"
A Landscape with a Man Fording a Stream,http://onlinecollection.nationalgallery.ie/objects/1086/a-landscape-with-a-man-fording-a-stream?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=169,late 1740s,Oil on canvas,51 x 130 cm,NGI.1091,"Milltown Gift, 1902"
A Landscape with a Man Fishing,http://onlinecollection.nationalgallery.ie/objects/1097/a-landscape-with-a-man-fishing?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=170,late 1740s,Oil on canvas,62 x 36 cm,NGI.1092,"Milltown Gift, 1902"
A Lake Scene with Figures,http://onlinecollection.nationalgallery.ie/objects/1109/a-lake-scene-with-figures?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=171,N/A,Oil on canvas,44 x 92 cm,NGI.1093,"Milltown Gift, 1902"
A Coast Scene with Shipwreck,http://onlinecollection.nationalgallery.ie/objects/1119/a-coast-scene-with-shipwreck?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=172,N/A,Oil on canvas,44 x 92 cm,NGI.1094,"Milltown Gift, 1902"
A Landscape with Figures and Bridge,http://onlinecollection.nationalgallery.ie/objects/1130/a-landscape-with-figures-and-bridge?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=173,1682-c.1702,Oil on oak panel,27.6 x 43.6 cm,NGI.1095,"Milltown Gift, 1902"
A Landscape with Hunting Party and Fountain,http://onlinecollection.nationalgallery.ie/objects/1140/a-landscape-with-hunting-party-and-fountain?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=174,c.1670-1711,Oil on oak panel,27.6 x 43.6 cm,NGI.1096,"Milltown Gift, 1902"
"Portrait of Thomas Moore (1779-1852), Poet",http://onlinecollection.nationalgallery.ie/objects/1151/portrait-of-thomas-moore-17791852-poet?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=175,1835,Oil on canvas,91 x 71 cm,NGI.1097,"Purchased, 1942"
"Portrait of T.P. Gill, Journalist, Secretary, Department of Agriculture and Technical Instruction",http://onlinecollection.nationalgallery.ie/objects/1162/portrait-of-tp-gill-journalist-secretary-department-of?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=176,1898,Oil on canvas,145 x 88 cm,NGI.1098,"Presented, Professor W. Magennis, 1942"
King Hieron II of Syracuse Calls on Archimedes to Fortify the City,http://onlinecollection.nationalgallery.ie/objects/1172/king-hieron-ii-of-syracuse-calls-on-archimedes-to-fortify-th?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=177,1720s,Oil on canvas,104 x 84 cm,NGI.1099,"Purchased, 1942"
A Vanitas Fruit-piece,http://onlinecollection.nationalgallery.ie/objects/1183/a-vanitas-fruitpiece?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=178,1653,Oil on canvas,85.5 x 65 cm,NGI.11,"Purchased, 1863"
The Story of Lucretia,http://onlinecollection.nationalgallery.ie/objects/1184/the-story-of-lucretia?ctx=e6e64a54-826b-44b6-a632-950d1544da81&idx=179,N/A,Tempera on panel,39 x 149 cm,NGI.110,"Purchased, 1856"
The Holy Family,http://onlinecollection.nationalgallery.ie/objects/1185/the-holy-family?ctx=22a6b87d-d2cd-44e2-8702-b817a070c001&idx=180,c.1500,Oil on panel,117 x 155 cm,NGI.1100,"Purchased, 1942"
"Portrait of T.W. Russell, Vice-President, Department of Agriculture and Technical Instruction",http://onlinecollection.nationalgallery.ie/objects/1196/portrait-of-tw-russell-vicepresident-department-of-agri?ctx=22a6b87d-d2cd-44e2-8702-b817a070c001&idx=181,N/A,Oil on canvas,76 x 63 cm,NGI.1101,"Presented, Comtesse de Saringy, 1942"
The Young Mother's Pastime,http://onlinecollection.nationalgallery.ie/objects/1207/the-young-mothers-pastime?ctx=22a6b87d-d2cd-44e2-8702-b817a070c001&idx=182,1844,Oil on canvas,93 x 79 cm,NGI.1102,"Purchased, 1942"
The Absolution of Saint Francis,http://onlinecollection.nationalgallery.ie/objects/1218/the-absolution-of-saint-francis?ctx=22a6b87d-d2cd-44e2-8702-b817a070c001&idx=183,N/A,Oil on canvas,57 x 36 cm,NGI.1103,"Purchased, 1943"
